order_id,date,customer_id,product_category,product_name,quantity,unit_price,discount,shipping_city,payment_method,rating
10001,2024-09-01,C4657,服装鞋帽,运动跑鞋,4,705.02,,郑州,支付宝,
10002,2024-08-25,C4811,图书文具,Python编程入门,2,77.06,0.3,南京,信用卡,5.0
10003,2024-07-02,C3615,美妆个护,面膜套装,1,106.64,0.25,深圳,支付宝,4.0
10004,2024-09-27,C5333,电子产品,无线鼠标,5,228.42,0.2,温州,京东白条,5.0
10005,2024-11-25,C4150,美妆个护,精华液,1,179.16,0.05,石家庄,微信支付,4.0
10006,2024-10-25,C6977,服装鞋帽,真丝围巾,2,295.98,0.05,合肥,京东白条,5.0
10007,2024-08-11,C8573,食品饮料,西湖龙井茶叶,2,24740.89,0.25,温州,支付宝,2.0
10008,2024-09-19,C7572,家居生活,不粘炒锅,5,185.97,0.25,武汉,京东白条,5.0
10009,2024-12-12,C8517,服装鞋帽,棒球帽,2,64.36,0.3,贵阳,花呗,4.0
10010,2024-08-05,C9348,食品饮料,进口坚果礼盒,3,217.48,0.1,无锡,京东白条,2.0
10011,2024-10-06,C8668,图书文具,商业管理书籍,3,116.98,,佛山,支付宝,4.0
10012,2024-09-07,C6573,电子产品,USB-C扩展坞,1,246.39,0.2,宁波,微信支付,3.0
10013,2024-12-08,C5889,美妆个护,口红套装,3,185.55,0.0,合肥,银行卡,3.0
10014,2024-10-01,C6038,服装鞋帽,纯棉T恤,2,92.72,,佛山,信用卡,5.0
10015,2024-11-14,C3060,服装鞋帽,运动套装,1,577.74,0.3,武汉,花呗,5.0
10016,2024-09-18,C7537,美妆个护,香水,2,461.86,0.15,广州,银行卡,
10017,2024-11-19,C4770,图书文具,手账本套装,2,39.65,,广州,支付宝,2.0
10018,2024-08-30,C5562,美妆个护,电动牙刷,1,208.27,0.5,南京,信用卡,3.0
10019,2024-07-25,C8062,家居生活,陶瓷茶具套装,3,339.89,,昆明,京东白条,
10020,2024-10-12,C6559,电子产品,智能手表,2,786.39,0.1,重庆,信用卡,5.0
10021,2024-10-22,C2604,电子产品,无线蓝牙耳机,4,586.6,0.1,郑州,信用卡,5.0
10022,2024-07-16,C3697,食品饮料,云南普洱茶饼,1,295.62,0.5,西安,信用卡,5.0
10023,2024-11-20,C8973,服装鞋帽,牛仔裤,5,259.88,0.0,佛山,银行卡,
10024,2024-11-27,C8811,图书文具,钢笔墨水礼盒,2,116.06,0.05,合肥,支付宝,4.0
10025,2024-07-31,C5033,图书文具,Python编程入门,1,79.97,0.25,南宁,银行卡,5.0
10026,2024-08-31,C5351,食品饮料,有机蜂蜜,1,122.89,0.05,北京,信用卡,5.0
10027,2024-07-26,C2200,图书文具,手账本套装,1,84.53,0.05,贵阳,微信支付,3.0
10028,2024-11-17,C5956,图书文具,Python编程入门,2,82.39,0.05,贵阳,微信支付,5.0
10029,2024-11-19,C3546,家居生活,收纳整理箱,2,3385.13,0.2,宁波,信用卡,5.0
10030,2024-07-14,C2512,美妆个护,面膜套装,1,175.11,0.1,昆明,银行卡,4.0
10031,2024-12-28,C8007,图书文具,Python编程入门,5,54.59,0.1,厦门,支付宝,5.0
10032,2024-08-07,C8041,服装鞋帽,纯棉T恤,4,102.16,0.0,贵阳,银行卡,4.0
10033,2024-07-27,C6794,图书文具,考试教辅资料,2,87.43,0.15,石家庄,微信支付,5.0
10034,2024-10-14,C1406,服装鞋帽,真丝围巾,1,496.72,0.15,重庆,微信支付,3.0
10035,2024-07-10,C8711,服装鞋帽,牛仔裤,1,436.64,0.15,南京,支付宝,4.0
10036,2024-09-10,C2137,家居生活,乳胶床垫,1,2923.45,0.25,北京,支付宝,4.0
10037,2024-11-26,C5349,电子产品,机械键盘,1,656.94,0.3,合肥,花呗,
10038,2024-11-25,C4114,家居生活,记忆棉枕头,1,240.76,0.15,天津,信用卡,
10039,2024-12-18,C6409,图书文具,儿童绘本套装,1,131.97,0.2,哈尔滨,信用卡,5.0
